"2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield",,,,,,,,,,
,U.S.,360,1,1,658,658,658,117,,,,,,10.72.7,,,,,,,,,,
,U.S.,360,1,1,658,658,658,117,1.1,409,11,11,11,10.72.7,,,,,,,,,,
,Non-U.S.,106,1,,97,97,97,1,1.0,93,1,1,1,1.1,,,,,,,,,,
,Card Member loans (b),,,,,,,,,,,,,,,,,,,,,,,
,U.S.,"66,436","7,553",11.4,,,,,,,,,,,,,,,,,,,,
,U.S.,"66,436","7,553",11.4,65.559,65.559,65.559,"8,196",,,,,,,,,,,,,,,,
,U.S.,"66,436","7,553",11.4,65.559,65.559,65.559,"8,196",,,,,,,,,,,,,,,,
,U.S.,"66,436","7,553",11.4,65.559,65.559,65.559,"8,196",12.5,"72,422",9.452,9.452,9.452,13.1,,,,,,,,,,
,Non-U.S.,"9,614","1,086",11.3,9.018,9.018,9.018,"1,196",13.3,"10,362","1,400","1,400","1,400",13.5,,,,,,,,,,
,Other loans (b),,,,,,,,,,,,,,,,,,,,,,,
,,"2,341",,,,,,,,,,,,,,,,,,,,,,
,,"2,341",181,7.7,"4,078","4,078","4,078",342,,,,,,,,,,,,,,,,
,U.S.,"2,341",181,7.7,"4,078","4,078","4,078",342,,,,,,,,,,,,,,,,
,U.S.,"2,341",181,7.7,"4,078","4,078","4,078",342,8.4,"4,101",413,413,413,10.1,,,,,,,,,,
,U.S.,"2,341",181,7.7,"4,078","4,078","4,078",342,8.4,"4,101",413,413,413,10.1,,,,,,,,,,
,Non-U.S.,126,30,23.8,139,139,139,45,32.4,170,43,43,43,25.3,,,,,,,,,,
,Taxable investment securities(c),,,,,,,,,,,,,,,,,,,,,,,
,U.S.,"13,765",62,0.5,14.002,14.002,14.002,,,,,,,,,,,,,,,,,
,U.S.,"13,765",62,0.5,14.002,14.002,14.002,100,0.7,"6,335",,,,,,,,,,,,,,
,U.S.,"13,765",62,0.5,14.002,14.002,14.002,100,0.7,"6,335",,,,,,,,,,,,,,
,U.S.,"13,765",62,0.5,14.002,14.002,14.002,100,0.7,"6,335",147,147,147,2.3,,,,,,,,,,
,Non-U.S.,634,16,2.5,612,612,612,21,3.4,589,27,27,27,4.6,,,,,,,,,,
,Non-taxable investment securities (c),,,,128,128,128,5,5.1,237,,,,,,,,,,,,,,
U.S.,U.S.,,,,128,128,128,5,5.1,237,,,,,,,,,,,,,,
U.S.,U.S.,,,,128,128,128,5,5.1,237,11,11,11,,,,,,,,,,,
U.S.,U.S.,87,3,4.7,128,128,128,5,5.1,237,11,11,11,,,,,,,,,,,
U.S.,U.S.,87,3,4.7,128,128,128,5,5.1,237,11,11,11,5.9n.m.,,,,,,,,,,
,Other assets (d),,,,,,,,,,,,,5.9n.m.,,,,,,,,,,
,,,,n.m,,,,,,,,,,5.9n.m.,,,,,,,,,,
,,,,n.m,38,38,38,8,,,,,,5.9n.m.,,,,,,,,,,
,,16,4,n.m,38,38,38,8,,,,,,5.9n.m.,,,,,,,,,,
,,16,4,n.m,38,38,38,8,n.m.,,,,,5.9n.m.,,,,,,,,,,
Primarily U.S.,Primarily U.S.,16,4,n.m,38,38,38,8,n.m.,,,,,5.9n.m.,,,,,,,,,,
Primarily U.S.,Primarily U.S.,16,4,n.m,38,38,38,8,n.m.,17,5,5,5,5.9n.m.,,,,,,,,,,
Total interest-earning assets (e),Total interest-earning assets (e),"$121,555",$ 9.033,7.4%,$128.326,$128.326,$128.326,$10.083,7.9%,7.9%$119.064,$12.084,$12.084,$12.084,10.2%,,,,,,,,,,
U.S.,U.S.,"108,588","7,837",,"115,909","115,909","115,909",8.758,,"105,709",10.559,10.559,10.559,,,,,,,,,,,
Non-U.S.,Non-U.S.,12.967,"1,196",,"12,417","12,417","12,417","1,325",,"13,355","1,525","1,525","1,525",,,,,,,,,,,
