"Year Ended December 31(Millions,except per share amounts)","Year Ended December 31(Millions,except per share amounts)","Year Ended December 31(Millions,except per share amounts)",2021,2020,2019,,
Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,(73),"1,015",963,,
Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,"(1,155)","3,453","2,462",,
Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,Provisions for credit lossesCard Member receivablesCard Member loansOther,(191),262,148,,
Total provisions for credit losses,Total provisions for credit losses,Total provisions for credit losses,"(1,419)",4.730,3.573,,
Total revenues net of interest expense after provisions for credit losses,Total revenues net of interest expense after provisions for credit losses,Total revenues net of interest expense after provisions for credit losses,"43,799","31,357",39.983,,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net",,,,,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","9,053","6,747","7,125",,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","11,007",8.041,"10,439",,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","1,993","1,230","2,223",,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","6,240","5,718","5,911",,
"ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","ExpensesMarketing and business developmentCard Member rewardsCard Member servicesSalaries and employee benefitsOther, net","4,817","5,325","5,856",,
Total expenses,Total expenses,Total expenses,"33,110","27,061","31,554",,
PretaxincomeIncome tax provision,PretaxincomeIncome tax provision,PretaxincomeIncome tax provision,"10,689","4,296","8,429",,
PretaxincomeIncome tax provision,PretaxincomeIncome tax provision,PretaxincomeIncome tax provision,2.629,"1,161",1.670,,
Net income,Net income,Net income,"$ 8,060","$ 3,135",$ 6.759,,
Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,,,$ 8.00,,
Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,$ 10.04$,3.77,$ 8.00,,
Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,Earnings per Common Share-(Note 21)(a)BasicDiluted,$ 10.02,$ 3.77$,7.99,,
Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,789,,828,,
Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,789,805,828,,
Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,Average common shares outstanding for earnings per common share:BasicDiluted,790,806,830,,
