"Cash dividends declared common,$1.64 pershare","(1,358)",,,,1,1,"(1,358)",,,,,
"Balancesas of December 31,2019Cumulative effect of change in accountingprinciple - Reserve for Credit Losses (a)",23.071,,163,"11,774","(2,737)","(2,737)","13,871",,,,,
"Balancesas of December 31,2019Cumulative effect of change in accountingprinciple - Reserve for Credit Losses (a)",(882),,,,1,1,,(882),,,,
Net income,"3,135",,,,1,1,"3,135",,,,,
Other comprehensive loss,(158),,,一,(158),(158),1,,,,,
Repurchase of common shares,(875),,(2),(105),1,1,(768),,,,,
"Other changes,primarily employee plans",164,,,212,1,1,(48),,,,,
"Cash dividends declared preferred Series B,$45,807.57 per shareCash dividends declared preferred Series C,$52,919.91 per shareCash dividends declared common,$1.72 pershare",(34),,,,,,(34),,,,,
"Cash dividends declared preferred Series B,$45,807.57 per shareCash dividends declared preferred Series C,$52,919.91 per shareCash dividends declared common,$1.72 pershare",(45),,,,,,(45),,,,,
"Cash dividends declared preferred Series B,$45,807.57 per shareCash dividends declared preferred Series C,$52,919.91 per shareCash dividends declared common,$1.72 pershare","(1,392)",,,,,,"(1,392)",,,,,
"Balances as of December 31,2020Net income",22.984,,161,"11,881","(2,895)","(2,895)","13,837",,,,,
"Balances as of December 31,2020Net income",8.060,,1,1,1,1,8.060,,,,,
Other comprehensive loss,(50),,1,1,(50),(50),1,,,,,
Preferred shares issued,"1,584",一,1,"1,584",1,1,1,,,,,
Redemption of preferred shares,"(1,600)",,1,"(1,584)",1,1,(16),,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare","(7,598)",一,(9),(631),1,1,"(6,958)",,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare",227,,1,245,1,1,(19),,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare",(27),1,,1,1,1,(27),,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare",(23),1,,1,,,(23),,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare",(21),,,,,,(21),,,,,
"Repurchase of common sharesOther changes,primarily employee plansCash dividends declared preferred Series B,$36,419.41 per shareCash dividends declared preferred Series C,$26,317.47 per shareCash dividends declared preferred Series D,$13,213.89 per shareCash dividends declared common,$1.72 pershare","(1,359)",,,,,,"(1,359)",,,,,
"Balances as of December 31,2021","$22,177",$ 一,$ 153,"$ 11,495$",(2.945),(2.945),"$ 13,474",,,,,
