Name of theCommittee,Extract of terms of reference,Extract of terms of reference,Category and composition,Category and composition,Other details,
,"approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.",Dr Ron Sommer^^,"Independent, Non-Executive",,
,"approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","Appointed as a member w.e.f.April 12,2019 andChairman w.e.f. June 27,2019 of this Committee.** Appointed as amember of this Committee w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his termas Independent Director w.e.f. June 26,2019.^^ Ceased to be a member of this Committee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019.","Appointed as a member w.e.f.April 12,2019 andChairman w.e.f. June 27,2019 of this Committee.** Appointed as amember of this Committee w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his termas Independent Director w.e.f. June 26,2019.^^ Ceased to be a member of this Committee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019.",,
Name of theCommittee,Extract of terms of reference,Category and composition,Category and composition,Other details,,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",Name,Category,"Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",O P Bhatt (Chairman)*,"Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",N Chandrasekaran,"Non-Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",Aarthi Subramanian**,"Non-Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",Hanne Sorensen**,"Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",Aman Mehta^,"Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",M,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.",Dr Ron Sommer^^,"Independent,Non-Executive","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Nomination andRemunerationCommittee,"Committee is constituted in line with theprovisions of Regulation 19 of SEBl ListingRegulations and Section 178 of the Act.Recommend to the Board the setup andcomposition of the Board and its committees.Recommend to the Board the appointment /re-appointment of Directorsand KeyManagerial Personnel.Support the Board and IndependentDirectors in evaluation of the performanceof the Board,its Committees and individualDirectors.Recommend to the Board the RemunerationPolicy for Directors,executive team or KeyManagerial Personnel as well as the rest ofemployees.Oversee familiarisation programs forDirectors.","Appointed as Chairman of this Committeew.e.f. June 27,2019.** Appointed asamemberof this Committe w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his term asIndependent Director w.e.f. June 26,2019.^^ Ceased to be a member of this Commitee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019.","Appointed as Chairman of this Committeew.e.f. June 27,2019.** Appointed asamemberof this Committe w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his term asIndependent Director w.e.f. June 26,2019.^^ Ceased to be a member of this Commitee consequentto the completion of his term as Independent Directorw.e.f. June 26,2019.","Three Nomination and RemunerationCommittee meetings were held during theyear under review.The Company does not have any EmployeeStock Option Scheme.Details of Performance Evaluation Criteriaand Remuneration Policy are provided atserial no. l(iii) below.The previous AGM of the Company was heldon June 13,2O19 and was attended by AmanMehta,the then Chairman of the Nominationand Remuneration Committee.",,
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",Name,Category,"Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",Dr Pradeep Kumar Khosla*(Chairman),"Independent,Non-Executive","Independent,Non-Executive","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",Rajesh Gopinathan,"Non-Independent, Executive","Non-Independent, Executive","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",Keki Mistry**,"Independent,Non-Executive","Independent,Non-Executive","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",Dr Ron Sommer^,"Independent,Non-Executive","Independent,Non-Executive","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany",N GanapathySubramaniam^^,"Non-Independent, Executive","Non-Independent, Executive","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
Stakeholders'RelationshipCommittee,"Committee is constituted in line with theprovisions of Regulation 20 of SEBl ListingRegulations and Section 178 of the Act.The broad terms of reference are as under:Consider and resolve the grievances ofsecurity holders.Consider and approve issue of sharecertificates,transfer and transmission ofsecurities, etc.Review activities with regard to the HealthSafety and Sustainability initiatives of theCompany","Appointed as Chairman of this Committee w.e.f.June 27,2019.** Appointed as a member of this Commitee w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his term asIndependent Director w.e.f. June 26,2019.^ Ceased to be a member of this Committee w.e.f.April 12,2019.","Appointed as Chairman of this Committee w.e.f.June 27,2019.** Appointed as a member of this Commitee w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his term asIndependent Director w.e.f. June 26,2019.^ Ceased to be a member of this Committee w.e.f.April 12,2019.","Appointed as Chairman of this Committee w.e.f.June 27,2019.** Appointed as a member of this Commitee w.e.f.April 12,2019.Ceased to be a member and Chairman of thisCommittee consequent to the completion of his term asIndependent Director w.e.f. June 26,2019.^ Ceased to be a member of this Committee w.e.f.April 12,2019.","Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",Name,Category,"Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",N Chandrasekaran(Chairman),"Non-Independent,Non-Executive","Non-Independent,Non-Executive","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",O P Bhatt,"Independent,Non-Executive","Independent,Non-Executive","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",N Ganapathy Subramaniam*,"|Non-Independent, Executive","|Non-Independent, Executive","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",Rajesh Gopinathan**,"Non-Independent,Executive","Non-Independent,Executive","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.",Aarthi Subramanian**,"Non-Independent,Non-Executive","Non-Independent,Non-Executive","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Corporate SocialResponsibility(""CSR"")Committee","Committee is constituted in line with theprovisions of Section 135 of the Act.Formulate and recommend to the Board,a CSR Policy indicating the activities to beundertaken by the Company as specified inSchedule Vll of the Act.Recommend the amount of expenditure tobe incurred on the activities mentioned in theCSR Policy.Monitor the CSR Policy.","Appointed as a member of this Committee w.e.f.April 12,2019.** Ceased to be a member of this Committee w.e.f.April 12,2019.","Appointed as a member of this Committee w.e.f.April 12,2019.** Ceased to be a member of this Committee w.e.f.April 12,2019.","Appointed as a member of this Committee w.e.f.April 12,2019.** Ceased to be a member of this Committee w.e.f.April 12,2019.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year.","Four meetings of the CSR Committee wereheld during the year under review.Four Board meetings of TCS Foundation,a Section 8 company which was incorporatedwith sole objective of carrying on CorporateSocial Responsibility (CSR) activities of theCompany were held during the year."
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Name,Category,"Two meetings of the Stakeholders'Relationship Committee were held duringthe year under review.Details of Investor complaints andCompliance Officer are provided at serial noII(ii)below.The previous AGM of the Company washeld on June 13,2019 and was attended byDr Ron Sommer the then Chairman of theStakeholders'Relationship Committee.",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Keki Mistry*(Chairman),"Independent,Non-Executive","Independent,Non-Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Don Callahan**,"Independent,Non-Executive","Independent,Non-Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",Rajesh Gopinathan,"Non-Independent, Executive","Non-Independent, Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
"Risk ManagementCommittee(""RMC"")","Committee is constituted in line with theprovisions of Regulation 21 of SEBl ListingRegulations.Formulate,monitor and review riskmanagement policy and plan,inter aliacovering investment of surplus funds,management of foreign exchange risks,cyber security risks,data privacy risks andintellectual property infringements risks.Approve addition /deletion of banks fromtime to time for carrying out Treasurytransactions and delegate the said power tosuch person as may deem fit.",N GanapathySubramaniam**,"Non-Independent, Executive","Non-Independent, Executive",Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.,Four meetings of the RMC were held duringthe year under review.Fortnightly reports on management offoreign exchange risks are made available tothe members of the RMC.
