Key Risks,Impact on the Company,Mitigation
Volatile global political and economicscenario,"Corporate spending on technology has shown strongcorrelations with GDP growth.The company derives a materialportion of its revenues from customers' discretionary spendingwhich is linked to their business outlook. Political disruptionsor volatile economic conditions (trade tensions,post-Brexituncertainty, Covid-19 pandemic impacts on the globaleconomy, US presidential elections etc.) may adversely affectthat outlook resulting in reduced spending which could restrictrevenue growth opportunities.","Broad-based business mix,well diversified across geographies andindustry verticalsOfferings and value propositions targeting all stakeholders (in additionto the ClO)in the customer organization,covering discretionary as wellas non-discretionary spends,and relevant at every point in the businesscycleCater to market segments which might provide counter-cyclical supportLong term contracting modelsLeverage business ecosystem through collaboration with partners, start-ups and alliances to participate in transformation initiatives of customers"
"Restrictions on global mobility, locationstrategies",Distributed software development models require the freemovement of people across countries and any restrictionsin key markets pose a threat to the global mobility of skilledprofessionals.Legislations which restrict the availability of workvisas or apply onerous eligibility criteria or costs could lead toproject delays and increased costs.The impact of Covid-19 pandemic may further aggravaterestrictions on global mobility in the coming year.,"Ongoing monitoring of the global environment,working with advisors,partners and governmentsMaterial reduction in dependency on work visas through increased hiringof local talent including freshers,use of contractors,local mobility andtraining in all major marketsUse of Location Independent Agile to promote systematic collaborationand reduce the need for co-locationActive engagement in Science,Technology, Engineering and Math(STEM) initiatives designed to structurally increase the availability ofengineering talent in major marketsGreater brand visibility through event sponsorships,communityoutreach,showcasing of investments,innovation capabilities andemployment generationIncreased outreach to government stakeholders,trade bodies, thinktanks and research institutes"
Key Risks Business model challenges,Impact on the Company Rapidly evolving technologies are changing technology,Mitigation
,"consumption patterns, creating new classes of buyers within the enterprise,giving rise to entirely new business models and therefore new kinds of competitors.This is resulting in increased demands on the company's agility to keep pace with the changing customer expectations.Failure to cope may result in loss of market share and impact business growth. Implementing Location Independent Agile methods to mitigate location","Strong customer-centricity which results in a strategy,investments and enabling organization structure that are always aligned to customer needs Early and continued investments in building scale and differentiated"
,"consumption patterns, creating new classes of buyers within the enterprise,giving rise to entirely new business models and therefore new kinds of competitors.This is resulting in increased demands on the company's agility to keep pace with the changing customer expectations.Failure to cope may result in loss of market share and impact business growth. Implementing Location Independent Agile methods to mitigate location","capabilities on emerging technologies through large scale reskilling, external hiring,research and innovation,solution development and IP asset creation leveraging deep contextual knowledge"
,"consumption patterns, creating new classes of buyers within the enterprise,giving rise to entirely new business models and therefore new kinds of competitors.This is resulting in increased demands on the company's agility to keep pace with the changing customer expectations.Failure to cope may result in loss of market share and impact business growth. Implementing Location Independent Agile methods to mitigate location",Staying relevant to customers by constantly launching new service practices and technology solutions and modernizing existing offerings and solutions Thought leadership by propagating the Business 4.O framework leveraging the Machine First Delivery Model. Developing industry-
Key Risks,Impact on the Company,Mitigation
Litigation risks,"Given the scale and geographic spread of the company'soperations,litigation risks can arise from commercial disputes,perceived violation of intellectual property rights andemployment related matters.Our rising profile and scale alsomake us a target to litigations without any legal merit.Thisrisk is inherent to doing business across various countries andcommensurate with the risk faced by other players similarlyplaced in the industry. In addition to incurring legal costs anddistracting management, litigations garner negative mediaattention and pose reputation risk.Adverse rulings can result insubstantive damages.","Strengthening internal processes and controls to adequately ensurecompliance with contractual obligations,information security andprotection of intellectual propertyImproved governance and controls over immigration process /increasinglocalization and sensitization of business managersPotential disputes are promptly brought to the attention of managementand dealt with appropriatelyThe company has a team of in-house counsels in all major geographiesit operates in.It also has a network of highly reputed global law firms incountries it operates inThere is a robust mechanism to track and respond to notices as well asdefend the company's position in all claims and litigation"
Currency volatility,"Volatility in currency exchange movements results intransaction and translation exposure.TCS' functional currencyis the Indian Rupee. Appreciation of the Rupee against anymajor currency could impact the reported revenue in Rupeeterms,the profitability and also result in collection losses.","TCS follows a currency hedging policy that is aligned with marketbest practices,to limit impact of exchange volatility on receivables,forecasted revenue and other current assets and liabilitiesHedging strategies are decided and monitored periodically by the RiskManagement Committee of the Board convened on a regular basis"
Breach of data protection laws,"Data privacy and protection of personal data is an area ofincreasing concern globally.Legislations like GDPR in Europecarry severe consequences for non-compliance or breach.Manyother countries are also enacting their Data Privacy regulationsto ensure protection of personal data.Violation of dataprotection laws or security breaches can result in substantiveliabilities,fines or penalties and reputational impact.","A global privacy policy is in place covering all applicable geographiesand areas of operations,which sets out the privacy principles within TCSA Global Privacy Office is in place to oversee and deploy data privacyobligations and support initiatives across the enterprise.DPOs(DataProtection Officers) have been appointed for TCS entities in the UK andIreland and in Europe as required by GDPR.Privacy leads have beenappointed in all units"
,,"Embedding privacy by design and privacy by default principles in development of new or changed internal processes or services or products. Robust and continued governance of personal data Data protection controls and robust risk response mechanisms to cater to protection of personal data in the TCS ecosystem as well as protection of such data in client-managed networks in Global Delivery Centers Industry standard data masking technologies to protect personal data in sensitive customer engagements,as applicable Reviewing and negotiating vendor contracts to support compliance with privacy obligations Mandatory online training and other workshops on data privacy and protection and on GDPR.Awareness campaigns through blog posts, email broadcasts,gamification and roadshows to foster a culture of responsibility among associates Implementing and maintaining data transfer agreements,where required"
Cyber attacks,"Risks of cyber-attacks are forever a threat on account of the fast-evolving nature of the threat.In addition to impact on business operations,a security breach could result in reputational damage,penalties and legal and financial liabilities.","for the transfer of data across jurisdictions Periodic reviews and audits to verify compliance to obligations Investments in automated prevention and detection solutions,including perimeter security controls with advanced tools,enhanced internal vulnerability detection,data leak prevention tools,defined and tested incident management and recovery process in compliance with ISO 27001 standard Compliance to security controls for cloud services as per ISO 27o17:2015 /27018 :2014 standard Continued reinforcement of stringent security policies and procedures"
,,"Collaboration with Computer Emergency Response Team (CERT)and other private Cyber Intelligence agencies,and enhanced awareness of emerging cyber threats Enterprise-wide training and awareness programs on Information Security with refresher courses Strict access controls including dynamic passwords for secure access to enterprise applications and special handling of privileged administrator accounts. Rigorous access management on all cloud deployments Encryption of data,data back-up and recovery mechanisms for ensuring business continuity Ability to isolate TCS enterprise network from client network and"
,"compliance across all the locations of the company of their implications and adaptation in business operations. Strong governance at executive and board level through compliance Failure to comply could result in penalties,reputational committees damage and criminal prosecution.",defined escalation mechanisms to handle security incidents in client environment Periodic rigorous testing to validate effectiveness of controls through vulnerability assessment and penetration testing
,,Internal and external audits and forensics
Non-compliance to complex and changing global regulations,"As a global organization, the company has to comply with complex and changing laws and regulations across multiple",Deployment of a comprehensive global compliance management framework that enables tracking of changes to applicable regulations
,"jurisdictions,covering areas such as HR, Employment and Immigration,Taxation,Foreign Exchange & Export Controls, Health Safety and Environment (HSE),Anti-Bribery and Corruption, Data Privacy etc.The fast pace of changes in the regulatory environment also requires quick understanding",globally across various jurisdictions and functional areas and managing compliance obligations Global regulatory compliance certification is fully digitized and covers
Intellectual Property (IP) infringement,"Risk of infringement of third-party IPs by TCS may lead to potential liabilities,increased litigation and impact on reputation. Inadequate protection of TCS'IP may lead to loss of IP leading to potential loss of ownership rights, revenue and value.",Dedicated IP Management and Software Product Engineering group TCS IP Protection: IP Safe assessment and readiness program governing
Intellectual Property (IP) infringement,"Risk of infringement of third-party IPs by TCS may lead to potential liabilities,increased litigation and impact on reputation. Inadequate protection of TCS'IP may lead to loss of IP leading to potential loss of ownership rights, revenue and value.","the creation of proprietary software and other IP assetsacross all asset types,patent management and contract management, IP audits and integrated IP compliance checks for TCS products"
Intellectual Property (IP) infringement,"Risk of infringement of third-party IPs by TCS may lead to potential liabilities,increased litigation and impact on reputation. Inadequate protection of TCS'IP may lead to loss of IP leading to potential loss of ownership rights, revenue and value.","IP Governance program that ensures that there is correct access and correct use of TCS IP,customer IP, partner IP,and third-party IP in"
,,service and partner engagements
,,"Employee engagement: Employee confidentiality agreement,training"
,,and awareness for IP protection and prevention of IP contamination and infringement.Digitized system to enable strict controls around movement of people and information across TCS' product teams and
,,customer account teams
