Exhibit Number,Description,Description
10.9,Danaher Corporation & Subsidiaries Amended and Restated Executive Deferred Incentive Program*,"Incorporated by reference from Exhibit 10.8 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2018"
10.10,Amendment to Danaher Corporation & Subsidiaries Amended and Restated Executive Deferred Incentive Program*,"Incorporated by reference from Exhibit 10.14 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended September 27, 2019"
10.11,"Danaher Corporation Excess Contribution Program, a sub-plan under the 2007 Omnibus Incentive Plan, as amended and restated*","Incorporated by reference from Exhibit10.9 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31, 2018"
10.12,Amendment to Danaher Excess Contribution Program*,"Incorporated by reference from Exhibit 10.15 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended September 27,2019"
10.13,Amended and Restated Danaher Corporation Deferred Compensation Plan*,"Incorporated by reference from Exhibit10.12 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended September 27,2019"
10.14,Amendment to Amended and Restated Danaher Corporation Deferred Compensation Plan*,"Incorporated by reference from Exhibit 10.13 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended September 27,2019"
10.15,Danaher Corporation Senior Leader Severance Pay Plan*,"Incorporated by reference from Exhibit 10.1 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended March 29,2013"
10.16,"Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Thomas P. Joyce, Jr., dated March 16,2009*","Incorporated by reference from Exhibit10.16 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2014"
10.17,"Amendment to Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Thomas P. Joyce, Jr., dated September 11, 2014*","Incorporated by reference from Exhibit 10.1 to Danaher Corporation's Current Report on Form 8-K filed on September 15,2014"
10.18,"Agreement by and between Danaher Corporation and Thomas P. Joyce, Jr., dated May 6,2020*","Incorporated by reference from Exhibit10.1 to Danaher Corporation's Current Report on Form 8-K filed May 6,2020"
10.19,"Amended and Restated Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Rainer M. Blair,dated May6,2020*","Incorporated by reference from Exhibit10.2 to Danaher Corporation's Current Report on Form 8-K filed May 6, 2020"
10.20,"Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Joakim Weidemanis, dated as of May15,2020*","Incorporated by reference from Exhibit 10.3 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended July,3,2020"
10.21,Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Matthew McGrew dated November,"Incorporated by reference from Exhibit 10.2 to Danaher Corporation's Current Report on Form 8-K filed on November 8,2018"
10.22,"7,2018* Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Angela S.Lalor dated March 23, 2012*","Incorporated by reference from Exhibit 10.16 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2016"
10.23,"Agreement Regarding Competition and Protection of Proprietary Interests by and between Danaher Corporation and Brian W.Ellis dated December 7, 2015*","Incorporated by reference from Exhibit 10.18 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2016"
10.24,"Letter Agreement by and between Danaher Corporation and Angela S.Lalor, dated March 19, 2012*","Incorporated by reference from Exhibit 10.14 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2012"
10.25,"Letter Agreement by and between Danaher Corporation and Brian W.Ellis, dated November 18, 2015*","Incorporated by reference from Exhibit 10.19 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2016"
10.26,Description of compensation arrangements for non- management directors*,"Incorporated by reference from Exhibit 10.22 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2019"
10.27,"Management Agreement dated February 23,2012 by and between FJ900, Inc.and Joust Capital III,LLC","Incorporated by reference from Exhibit 10.25 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31, 2011"
10.28,"Interchange Agreement dated July 22,2011 by and between Danaher Corporation and Joust Capital III, LLC","Incorporated by reference from Exhibit 10.10 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended July1,2011"
10.29,"Aircraft Time Sharing Agreement by and between Danaher Corporation and Rainer M. Blair, dated as ofAugust 3,2020*3","Incorporated by reference from Exhibit 10.1 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended October 2,2020"
10.30,"Amendment No. 1 to Aircraft Time Sharing Agreement by and between Danaher Corporation and ThomasP. Joyce, Jr.,dated July 1,2016*","Incorporated by reference from Exhibit 10.7 to Danaher Corporation's Quarterly Report on Form 10-Q for the quarter ended July 1,2016"
10.31,Form of Director and Officer Indemnification Agreement,"Incorporated by reference from Exhibit 10.35 to Danaher Corporation's Annual Report on Form 10- K for the year ended December 31,2008"
10.32,"Second Amended and Restated Credit Agreement, dated as of August 27,2019,among Danaher Corporation,certain of its subsidiaries party thereto, Bank of America, N.A.,as Administrative Agent and a SwingLine Lender,and the lenders referred to therein","Incorporated by reference from Exhibit 10.1 to Danaher Corporation's Current Report on Form 8-K filed August 29, 2019"
10.33,"Amendment No. 1 to Second Amended and Restated Credit Agreement, dated as of September 20,2019, among Danaher Corporation,Bank of America, N.A.,Bank of America, N.A. London Branch and Citibank,N.A.,each in their respective roles as a Swing Line Lender,Bank of America,N.A. as Administrative Agent and the lenders referred to therein","Incorporated by reference from Exhibit 10.8 to Danaher Corporation's Report on Form 1O-Q for the quarter ended September 27,2019"
10.34,"Amendment No. 2 to Second Amended and Restated Credit Agreement, dated as of October 7,2019, among Danaher Corporation,Bank of America, N.A., Bank of America,N.A.London Branch and Citibank,N.A.,each in their respective roles as a Swing Line Lender,Bank of America,N.A.as Administrative Agent and the lenders referred to","Incorporated by reference from Exhibit 10.9 to Danaher Corporation's Report on Form 10-Q for the quarter ended September 27,2019"
21.1,therein Subsidiaries of Registrant,
22.1,Subsidiary guarantors and issuers of guaranteed securities and affiliates whose securities collateralize,
23.1,securities of the Registrant Consent of Independent Registered Public,
