Exhibit Number,Exhibit
10.13*,"Form of Notice of Restricted Share Unit Award for grants to affiliated directors pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of July 29, 2014) (incorporated by reference to Exhibit 10.2 of the Company’s Form 10-Q for the quarter ended September 30, 2014)."
10.14*,"Form of Notice of Performance-Vesting Restricted Share Unit Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of July 29, 2014) (incorporated by reference to Exhibit 10.3 of the Company’s Form 10-Q for the quarter ended September 30, 2014)."
10.15*,"Form of Notice of Stock Option Award for grants to U.S. employees pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 1, 2016) (incorporated by reference to Exhibit 10.44 of the Company’s Form 10-K for the year ended December 31, 2016)."
10.16*,"Form of Notice of Stock Option Award for grants to non-U.S. employees pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 1, 2016) (incorporated by reference to Exhibit 10.45 of the Company’s Form 10-K for the year ended December 31, 2016)."
10.17*,"Form of Notice of Restricted Share Unit Award for grants to non-U.S. employees pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 1, 2016) (incorporated by reference to Exhibit 10.46 of the Company’s Form 10-K for the year ended December 31, 2016)."
10.18*,"Form of Notice of Stock Option Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of March 2, 2017) (incorporated by reference to Exhibit 10.2 of the Company’s Form 10-Q for the quarter ended March 31, 2017)."
10.19*,"Form of Notice of Performance-Vesting Restricted Share Unit Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of March 2, 2017) (incorporated by reference to Exhibit 10.3 of the Company’s Form 10-Q for the quarter ended March 31, 2017)."
10.20*,"Form of Notice of Stock Option Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of October 26, 2018) (incorporated by reference to Exhibit 10.21 of the Company’s Form 10-K for the year ended December 31, 2018)."
10.21*,"Form of Notice of Performance-Vesting Restricted Share Unit Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 26, 2018) (incorporated by reference to Exhibit 10.3 of the Company’s Form 10-K for the year ended December 31, 2018)."
10.22*,"Form of Notice of Stock Option Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 4, 2019) (incorporated by reference to Exhibit 10.2 of the Company’s Form 8-K filed May 11, 2017)."
10.23*,"Form of Notice of Performance-Vesting Restricted Share Unit Award for grants pursuant to the Activision Blizzard, Inc. 2014 Incentive Plan (effective as of November 4, 2019) (incorporated by reference to Exhibit 10.3 of the Company’s Form 8-K filed May 11, 2017)."
10.24*,"Amended and Restated CEO Recognition Program (incorporated by reference to Exhibit 10.6 of the Company’s Form 10-Q for the quarter ended June 30, 2014)."
10.25*,"Activision Blizzard, Inc. Corporate Annual Incentive Plan (incorporated by reference to Exhibit 10.1 of the Company’s Form 10-Q for the quarter ended September 30, 2015)."
10.26*,"Employment Agreement, dated November 1, 2017, between Chris B. Walther and the Company (incorporated by reference to Exhibit 10.2 of the Company’s Form 10-Q for the quarter ended March 31, 2019)."
10.27*,"Employment Agreement, dated February 2, 2019, between Deis Durkin and the Company (incorporated by reference to Exhibit 10.24 of the Company’s Form 10-K for the year ended December 31, 2018)."
10.28*,"Employment Agreement dated as of November 2, 2016 between Robert A. Kotick and the Company (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed November 25, 2016)."
10.29*,"Form of Notice of Performance Share Unit Award to Robert A. Kotick (incorporated by reference to Exhibit 10.26 of the Company’s Form 10-K for the year ended December 31, 2018)."
10.30*,"Form of Notice of 2018 Stock Option Award to Robert A. Kotick (incorporated by reference to Exhibit 10.27 of the Company’s Form 10-K for the year ended December 31, 2018)."
10.31*,"Form of Notice of 2019 Stock Option Award to Robert A. Kotick (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed May 11, 2017)."
10.32*,
10.33*,"Employment Agreement dated as of July 24, 2019 between Claudine Naughton and the Company."
10.34*,"Non-Affiliated Director Compensation Program and Stock Ownership Guidelines as amended and restated as of May 1, 2018 (incorporated by reference to Exhibit 10.1 of the Company’s Form 10-Q for the quarter ended June 30, 2018)."
10.35*,
10.36,"Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, Bank of America Merrill Lynch and J.P. Morgan Securities LLC as joint lead arrangers and joint book runners, Goldman Sachs & Co., HSBC Securities (USA) Inc., Mitsubishi UFJ Securities (USA), Inc., Mizuho Securities USA Inc., RBC Capital Markets, SunTrust Bank and U.S. Bank National Association as documentation agents (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed October 18, 2013)."
10.37,"First Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed November 3, 2015)."
10.38,"Second Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed November 17, 2015)."
10.39,"Third Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed December 14, 2015)."
10.40,"Fourth Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed April 1, 2016)."
10.41,"Fifth Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed August 24, 2016)."
10.42,"Sixth Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed February 6, 2017)."
10.43,"Seventh Amendment to the Credit Agreement dated as of October 11, 2013 among Activision Blizzard, Inc., certain subsidiaries thereof as guarantors and for the benefit of a group of lenders, Bank of America, N.A., as administrative agent and collateral agent for the lenders, J.P. Morgan Securities LLC as syndication agent, several other agents party thereto (incorporated by reference to Exhibit 10.1 of the Company’s Form 8-K filed February 6, 2017)."
21.1,Subsidiaries of the Company.
23.1,Consent of Independent Registered Public Accounting Firm (PricewaterhouseCoopers LLP):
24.1,
31.1,"Power of Attorney of each Executive Officer and Director signing this report (included in the signature page hereto). Certification of Robert A. Kotick pursuant to Rule 13a-14(a) under the Securities and Exchange Act of 1934, as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002."
31.2,"Certification of Dennis Durkin pursuant to Rule 13a-14(a) under the Securities and Exchange Act of 1934, as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002."
32.1,Certification of Robert A. Kotick pursuant to Section 906 of the Sarbanes-Oxley Act of 2002.
32.2,Certification of Dennis Durkin pursuant to Section 906 of the Sarbanes-Oxley Act of 2002.
101.INS,Inline XBRL Instance Document - The instance document does not appear in the interactive data file because its XBRL tags are embedded within the Inline XBRL document.
101.SCH,Inline XBRL Taxonomy Extension Schema Document.
101.CAL,Inline XBRL Taxonomy Calculation Linkbase Document.
101.LAB,Inline XBRL Taxonomy Label Linkbase Document.
101.PRE,Inline XBRL Taxonomy Presentation Linkbase Document.
101.DEF,Inline XBRL Taxonomy Extension Definition Document.
104,Cover Page Interactive Data File (formatted as Inline XBRL and contained in Exhibit 101).
"Indicates a management contract, compensatory plan or arrangement.",
